instance sat family size vbdpd vbbjdpd
si2-m4Dr6-m256.02 1 6 256 18 23
si2-m4Dr6-m256.01 1 6 256 14 21
si2-m4Dr6-m256.08 1 6 256 27 40
si2-m4Dr6-m256.03 1 6 256 21 15
si6-r01-m200.04 1 7 200 614 470
si6-r01-m200.08 1 7 200 381 399
si6-r01-m200.02 1 7 200 420 428
si6-r01-m200.09 1 7 200 1253 1267
si6-r01-m200.07 1 7 200 384 388
si6-r01-m200.00 1 7 200 549 561
si6-r01-m200.01 1 7 200 1436 1452
si6-r01-m200.03 1 7 200 467 477
si6-r01-m200.05 1 7 200 1268 1271
si6-r01-m200.06 1 7 200 639 658
si2-b03m-m800.03 1 4 800 58 55
si2-b03m-m800.02 1 4 800 72 70
si2-b03m-m800.09 1 4 800 103 106
si2-b03m-m800.04 1 4 800 106 106
si2-b03m-m800.06 1 4 800 162 155
si2-b03m-m800.05 1 4 800 205 162
si2-b03m-m800.01 1 4 800 107 114
si2-b03m-m800.08 1 4 800 68 89
si2-b03m-m800.07 1 4 800 56 55
si2-b03m-m800.00 1 4 800 67 68
si2-r001-m200.06 1 7 200 5 5
si2-r001-m200.01 1 7 200 9 10
si2-r001-m200.02 1 7 200 7 11
si2-r001-m200.07 1 7 200 6 6
si2-r001-m200.04 1 7 200 5 6
si2-r001-m200.05 1 7 200 6 6
si2-r001-m200.09 1 7 200 6 7
si2-r001-m200.03 1 7 200 8 7
si2-r001-m200.00 1 7 200 5 5
si2-r001-m200.08 1 7 200 6 9
si6-b03m-m800.01 1 4 800 215 215
si6-b03m-m800.08 1 4 800 337 404
si6-b03m-m800.03 1 4 800 162 162
si6-b03m-m800.00 1 4 800 264 265
si6-b03m-m800.04 1 4 800 155 155
si6-b03m-m800.05 1 4 800 217 215
si6-b03m-m800.07 1 4 800 214 213
si6-b03m-m800.06 1 4 800 169 161
si6-b03m-m800.09 1 4 800 185 159
si6-b03m-m800.02 1 4 800 240 211
si4-r005-m200.00 1 7 200 106 136
si4-r005-m200.08 1 7 200 102 106
si4-r005-m200.02 1 7 200 139 131
si4-r005-m200.05 1 7 200 101 102
si4-r005-m200.06 1 7 200 120 108
si4-r005-m200.04 1 7 200 119 118
si4-r005-m200.07 1 7 200 132 138
si4-r005-m200.09 1 7 200 174 122
si4-r005-m200.01 1 7 200 97 110
si4-r005-m200.03 1 7 200 99 108
si6-b09m-m400.03 1 4 400 161 163
si6-b09m-m400.07 1 4 400 273 298
si6-b09m-m400.00 1 4 400 194 187
si6-b09m-m400.04 1 4 400 388 389
si6-b09m-m400.06 1 4 400 166 203
si6-b09m-m400.08 1 4 400 408 354
si6-b09m-m400.02 1 4 400 360 475
si6-b09m-m400.05 1 4 400 159 158
si6-b09m-m400.09 1 4 400 145 144
si6-b09m-m400.01 1 4 400 171 173
si2-b09-m200.08 1 3 200 24 24
si2-b09-m200.01 1 3 200 23 24
si2-b09-m200.06 1 3 200 24 26
si2-b09-m200.05 1 3 200 24 27
si2-b09-m200.00 1 3 200 24 36
si2-b09-m200.02 1 3 200 23 24
si2-b09-m200.03 1 3 200 26 25
si2-b09-m200.04 1 3 200 28 26
si2-b09-m200.09 1 3 200 24 32
si2-b09-m200.07 1 3 200 34 24
si6-r01-m600.02 1 7 600 70689 71550
si6-r01-m600.06 1 7 600 61572 62332
si6-r01-m600.09 1 7 600 28592 28639
si6-r01-m600.08 1 7 600 204878 208294
si6-r01-m600.05 1 7 600 45838 46672
si6-r01-m600.07 1 7 600 242832 246921
si6-r01-m600.03 1 7 600 120199 121812
si6-r01-m600.00 1 7 600 49157 49681
si6-r01-m600.01 1 7 600 610211 620983
si6-r01-m600.04 1 7 600 421077 428585
si2-b06-m200.02 1 3 200 17 20
si2-b06-m200.00 1 3 200 23 16
si2-b06-m200.01 1 3 200 14 15
si2-b06-m200.06 1 3 200 20 19
si2-b06-m200.09 1 3 200 14 15
si2-b06-m200.07 1 3 200 15 15
si2-b06-m200.04 1 3 200 23 22
si2-b06-m200.08 1 3 200 14 22
si2-b06-m200.03 1 3 200 23 23
si2-b06-m200.05 1 3 200 23 15
si6-m4Dr2-m1296.05 1 6 1296 723 714
si6-m4Dr2-m1296.09 1 6 1296 1153 987
si6-m4Dr2-m1296.01 1 6 1296 1251 1692
si6-m4Dr2-m1296.06 1 6 1296 1654 1658
si6-m4Dr2-m1296.07 1 6 1296 856 855
si6-m4Dr2-m1296.03 1 6 1296 1261 1265
si6-m4Dr2-m1296.04 1 6 1296 2138 2142
si6-m4Dr2-m1296.00 1 6 1296 1815 1586
si6-m4Dr2-m1296.08 1 6 1296 1232 1451
si6-m4Dr2-m1296.02 1 6 1296 1186 1208
si2-b09m-m800.09 1 4 800 206 182
si2-b09m-m800.07 1 4 800 360 357
si2-b09m-m800.00 1 4 800 222 211
si2-b09m-m800.04 1 4 800 327 298
si2-b09m-m800.02 1 4 800 470 430
si2-b09m-m800.05 1 4 800 211 209
si2-b09m-m800.03 1 4 800 233 237
si2-b09m-m800.08 1 4 800 382 459
si2-b09m-m800.06 1 4 800 234 233
si2-b09m-m800.01 1 4 800 226 216
si4-b03-m400.01 1 3 400 37 37
si4-b03-m400.02 1 3 400 36 38
si4-b03-m400.05 1 3 400 56 37
si4-b03-m400.07 1 3 400 40 44
si4-b03-m400.06 1 3 400 38 38
si4-b03-m400.00 1 3 400 41 37
si4-b03-m400.03 1 3 400 38 48
si4-b03-m400.04 1 3 400 59 59
si4-b03-m400.09 1 3 400 47 50
si4-b03-m400.08 1 3 400 59 39
si2-b03-m200.05 1 3 200 5 5
si2-b03-m200.09 1 3 200 5 5
si2-b03-m200.07 1 3 200 6 5
si2-b03-m200.01 1 3 200 5 9
si2-b03-m200.08 1 3 200 5 5
si2-b03-m200.02 1 3 200 5 5
si2-b03-m200.04 1 3 200 7 5
si2-b03-m200.03 1 3 200 5 5
si2-b03-m200.06 1 3 200 7 5
si2-b03-m200.00 1 3 200 8 6
si4-r005-m600.00 1 7 600 25505 25908
si4-r005-m600.02 1 7 600 7617 7626
si4-r005-m600.08 1 7 600 27251 27655
si4-r005-m600.05 1 7 600 23350 23797
si4-r005-m600.07 1 7 600 9067 9172
si4-r005-m600.06 1 7 600 41639 42391
si4-r005-m600.01 1 7 600 25270 24886
si4-r005-m600.04 1 7 600 21822 22183
si4-r005-m600.03 1 7 600 13734 13869
si4-r005-m600.09 1 7 600 5709 5729
si4-b09-m400.05 1 3 400 209 226
si4-b09-m400.03 1 3 400 203 210
si4-b09-m400.00 1 3 400 204 208
si4-b09-m400.07 1 3 400 226 203
si4-b09-m400.01 1 3 400 208 203
si4-b09-m400.06 1 3 400 207 204
si4-b09-m400.04 1 3 400 238 203
si4-b09-m400.02 1 3 400 202 339
si4-b09-m400.08 1 3 400 203 204
si4-b09-m400.09 1 3 400 202 215
si4-b06m-m400.06 1 4 400 74 76
si4-b06m-m400.03 1 4 400 45 45
si4-b06m-m400.01 1 4 400 139 140
si4-b06m-m400.08 1 4 400 108 78
si4-b06m-m400.05 1 4 400 137 107
si4-b06m-m400.07 1 4 400 52 54
si4-b06m-m400.00 1 4 400 73 72
si4-b06m-m400.04 1 4 400 50 50
si4-b06m-m400.09 1 4 400 64 64
si4-b06m-m400.02 1 4 400 83 111
si2-m4Dr2-m625.05 1 6 625 347 217
si2-m4Dr2-m625.00 1 6 625 131 136
si2-m4Dr2-m625.08 1 6 625 162 103
si2-m4Dr2-m625.09 1 6 625 110 109
si2-m4Dr2-m625.06 1 6 625 158 117
si2-m4Dr2-m625.04 1 6 625 69 68
si2-m4Dr2-m625.01 1 6 625 170 191
si2-m4Dr2-m625.03 1 6 625 65 68
si2-m4Dr2-m625.02 1 6 625 117 162
si2-m4Dr2-m625.07 1 6 625 58 57
si2-r005-m200.02 1 7 200 42 43
si2-r005-m200.01 1 7 200 246 322
si2-r005-m200.03 1 7 200 75 69
si2-r005-m200.05 1 7 200 12009 12778
si2-r005-m200.08 1 7 200 1572 1572
si2-r005-m200.04 1 7 200 6366 6543
si2-r005-m200.09 1 7 200 73 106
si2-r005-m200.06 1 7 200 148 168
si2-r005-m200.00 1 7 200 764 734
si2-r005-m200.07 1 7 200 70 70
si4-b03m-m400.03 1 4 400 26 26
si4-b03m-m400.09 1 4 400 29 42
si4-b03m-m400.08 1 4 400 45 43
si4-b03m-m400.04 1 4 400 28 28
si4-b03m-m400.00 1 4 400 43 45
si4-b03m-m400.01 1 4 400 43 42
si4-b03m-m400.07 1 4 400 33 48
si4-b03m-m400.02 1 4 400 39 41
si4-b03m-m400.06 1 4 400 39 39
si4-b03m-m400.05 1 4 400 28 44
si2-r01-m600.01 1 7 600 325502 331982
si2-r01-m600.06 1 7 600 197811 202663
si2-r01-m600.09 1 7 600 721653 737980
si2-r01-m600.08 1 7 600 1216367 1245494
si2-r01-m600.04 1 7 600 1425768 1455349
si2-r01-m600.02 1 7 600 4092723 4182917
si2-r01-m600.00 1 7 600 25507478 26074160
si2-r01-m600.07 1 7 600 419319 428607
si2-r01-m600.03 1 7 600 2603529 2664784
si2-r01-m600.05 1 7 600 238297 243769
si4-m4Dr6-m256.01 1 6 256 23 24
si4-m4Dr6-m256.00 1 6 256 53 54
si4-m4Dr6-m256.05 1 6 256 35 30
si4-m4Dr6-m256.08 1 6 256 38 27
si4-m4Dr6-m256.03 1 6 256 48 65
si4-m4Dr6-m256.06 1 6 256 56 57
si4-m4Dr6-m256.09 1 6 256 27 28
si4-m4Dr6-m256.07 1 6 256 41 47
si4-m4Dr6-m256.02 1 6 256 74 62
si4-m4Dr6-m256.04 1 6 256 45 45
si2-b03m-m400.02 1 4 400 21 35
si2-b03m-m400.00 1 4 400 33 37
si2-b03m-m400.01 1 4 400 24 28
si2-b03m-m400.05 1 4 400 36 36
si2-b03m-m400.08 1 4 400 29 29
si2-b03m-m400.07 1 4 400 20 20
si2-b03m-m400.09 1 4 400 28 28
si2-b03m-m400.03 1 4 400 25 25
si2-b03m-m400.04 1 4 400 30 43
si2-b03m-m400.06 1 4 400 23 24
si2-b03m-m200.05 1 4 200 19 12
si2-b03m-m200.03 1 4 200 9 6
si2-b03m-m200.00 1 4 200 8 8
si2-b03m-m200.08 1 4 200 9 10
si2-b03m-m200.06 1 4 200 6 10
si2-b03m-m200.02 1 4 200 10 6
si2-b03m-m200.09 1 4 200 9 9
si2-b03m-m200.04 1 4 200 11 12
si2-b03m-m200.01 1 4 200 12 10
si2-b03m-m200.07 1 4 200 4 4
si4-r001-m200.04 1 7 200 9 9
si4-r001-m200.07 1 7 200 17 18
si4-r001-m200.00 1 7 200 10 10
si4-r001-m200.01 1 7 200 10 10
si4-r001-m200.03 1 7 200 9 11
si4-r001-m200.06 1 7 200 22 19
si4-r001-m200.05 1 7 200 13 12
si4-r001-m200.08 1 7 200 10 10
si4-r001-m200.09 1 7 200 12 12
si4-r001-m200.02 1 7 200 17 17
si2-m4D-m256.08 1 5 256 27 29
si2-m4D-m256.03 1 5 256 17 25
si2-m4D-m256.02 1 5 256 23 22
si2-m4D-m256.06 1 5 256 20 17
si2-m4D-m256.04 1 5 256 15 19
si2-m4D-m256.07 1 5 256 29 21
si2-m4D-m256.01 1 5 256 24 25
si2-m4D-m256.09 1 5 256 36 23
si2-m4D-m256.00 1 5 256 42 43
si2-m4D-m256.05 1 5 256 16 18
si6-r01-m400.04 1 7 400 20858 21282
si6-r01-m400.08 1 7 400 6262 6328
si6-r01-m400.07 1 7 400 13664 13761
si6-r01-m400.06 1 7 400 12709 12920
si6-r01-m400.05 1 7 400 52087 52833
si6-r01-m400.02 1 7 400 15352 15532
si6-r01-m400.00 1 7 400 15013 15174
si6-r01-m400.03 1 7 400 8822 8910
si6-r01-m400.01 1 7 400 13740 13849
si6-r01-m400.09 1 7 400 28145 28562
si2-m4Dr4-m625.07 1 6 625 147 145
si2-m4Dr4-m625.02 1 6 625 66 65
si2-m4Dr4-m625.03 1 6 625 228 204
si2-m4Dr4-m625.00 1 6 625 111 110
si2-m4Dr4-m625.05 1 6 625 121 120
si2-m4Dr4-m625.06 1 6 625 135 132
si2-m4Dr4-m625.09 1 6 625 84 80
si2-m4Dr4-m625.01 1 6 625 77 76
si2-m4Dr4-m625.08 1 6 625 79 78
si2-m4Dr4-m625.04 1 6 625 93 82
si4-r01-m400.01 1 7 400 3027 3035
si4-r01-m400.08 1 7 400 61575 62465
si4-r01-m400.02 1 7 400 219520 223332
si4-r01-m400.03 1 7 400 25869 26376
si4-r01-m400.07 1 7 400 52205 52715
si4-r01-m400.06 1 7 400 5872 5925
si4-r01-m400.04 1 7 400 198012 201284
si4-r01-m400.00 1 7 400 344259 349335
si4-r01-m400.05 1 7 400 13297 13512
si4-r01-m400.09 1 7 400 42067 42822
si2-b09m-m400.09 1 4 400 77 78
si2-b09m-m400.03 1 4 400 66 66
si2-b09m-m400.01 1 4 400 52 52
si2-b09m-m400.08 1 4 400 55 55
si2-b09m-m400.05 1 4 400 65 66
si2-b09m-m400.06 1 4 400 51 50
si2-b09m-m400.00 1 4 400 57 59
si2-b09m-m400.02 1 4 400 47 53
si2-b09m-m400.04 1 4 400 51 51
si2-b09m-m400.07 1 4 400 53 53
si2-b09-m800.07 1 3 800 404 403
si2-b09-m800.04 1 3 800 404 404
si2-b09-m800.05 1 3 800 407 403
si2-b09-m800.00 1 3 800 405 404
si2-b09-m800.02 1 3 800 404 403
si2-b09-m800.01 1 3 800 411 476
si2-b09-m800.08 1 3 800 405 404
si2-b09-m800.09 1 3 800 416 405
si2-b09-m800.03 1 3 800 403 405
si2-b09-m800.06 1 3 800 404 403
si6-b03-m400.04 1 3 400 53 54
si6-b03-m400.09 1 3 400 56 60
si6-b03-m400.02 1 3 400 56 54
si6-b03-m400.06 1 3 400 62 63
si6-b03-m400.05 1 3 400 54 54
si6-b03-m400.08 1 3 400 56 57
si6-b03-m400.01 1 3 400 54 56
si6-b03-m400.07 1 3 400 54 54
si6-b03-m400.03 1 3 400 55 54
si6-b03-m400.00 1 3 400 83 60
si2-r005-m600.03 1 7 600 25307 25061
si2-r005-m600.00 1 7 600 478069 472606
si2-r005-m600.06 1 7 600 31431 31592
si2-r005-m600.01 1 7 600 122752 119855
si2-r005-m600.04 1 7 600 308483 299135
si2-r005-m600.09 1 7 600 33291 34019
si2-r005-m600.05 1 7 600 1464829 1452407
si2-r005-m600.02 1 7 600 340345 337038
si2-r005-m600.08 1 7 600 73904 73800
si2-r005-m600.07 1 7 600 10598 10790
si4-r01-m600.05 1 7 600 61172 62298
si4-r01-m600.02 1 7 600 63081 64315
si4-r01-m600.03 1 7 600 234643 239710
si4-r01-m600.07 1 7 600 472866 481802
si4-r01-m600.08 1 7 600 380952 387197
si4-r01-m600.06 1 7 600 162945 165848
si4-r01-m600.01 1 7 600 1050695 1076392
si4-r01-m600.04 1 7 600 336849 343388
si4-r01-m600.00 1 7 600 735086 750431
si4-r01-m600.09 1 7 600 244504 247343
si2-b09-m400.04 1 3 400 102 107
si2-b09-m400.08 1 3 400 102 103
si2-b09-m400.05 1 3 400 103 102
si2-b09-m400.01 1 3 400 103 104
si2-b09-m400.03 1 3 400 102 103
si2-b09-m400.02 1 3 400 103 103
si2-b09-m400.07 1 3 400 103 121
si2-b09-m400.09 1 3 400 102 102
si2-b09-m400.06 1 3 400 103 104
si2-b09-m400.00 1 3 400 102 102
si4-b06-m200.06 1 3 200 43 29
si4-b06-m200.03 1 3 200 28 30
si4-b06-m200.02 1 3 200 27 27
si4-b06-m200.07 1 3 200 42 27
si4-b06-m200.05 1 3 200 30 29
si4-b06-m200.08 1 3 200 27 27
si4-b06-m200.00 1 3 200 27 27
si4-b06-m200.04 1 3 200 27 28
si4-b06-m200.01 1 3 200 32 28
si4-b06-m200.09 1 3 200 31 28
si4-r005-m400.06 1 7 400 3489 3553
si4-r005-m400.03 1 7 400 1606 1610
si4-r005-m400.07 1 7 400 4056 4082
si4-r005-m400.01 1 7 400 1462 1466
si4-r005-m400.04 1 7 400 1719 1731
si4-r005-m400.00 1 7 400 1762 1770
si4-r005-m400.09 1 7 400 2122 1972
si4-r005-m400.05 1 7 400 1501 1501
si4-r005-m400.08 1 7 400 1200 1202
si4-r005-m400.02 1 7 400 4119 3904
si4-m4Dr2-m1296.07 1 6 1296 2060 2067
si4-m4Dr2-m1296.00 1 6 1296 826 827
si4-m4Dr2-m1296.05 1 6 1296 873 899
si4-m4Dr2-m1296.04 1 6 1296 450 448
si4-m4Dr2-m1296.08 1 6 1296 1054 1057
si4-m4Dr2-m1296.01 1 6 1296 1137 1148
si4-m4Dr2-m1296.06 1 6 1296 795 778
si4-m4Dr2-m1296.02 1 6 1296 1083 721
si4-m4Dr2-m1296.03 1 6 1296 611 604
si4-m4Dr2-m1296.09 1 6 1296 981 982
si6-b09-m800.03 1 3 800 1197 1194
si6-b09-m800.09 1 3 800 1196 1196
si6-b09-m800.07 1 3 800 1195 1193
si6-b09-m800.05 1 3 800 1201 1196
si6-b09-m800.04 1 3 800 1202 1195
si6-b09-m800.01 1 3 800 1221 1842
si6-b09-m800.00 1 3 800 1196 1197
si6-b09-m800.02 1 3 800 1196 1194
si6-b09-m800.06 1 3 800 1196 1298
si6-b09-m800.08 1 3 800 1200 1197
si6-b06m-m400.00 1 4 400 254 259
si6-b06m-m400.08 1 4 400 159 155
si6-b06m-m400.03 1 4 400 127 127
si6-b06m-m400.04 1 4 400 280 282
si6-b06m-m400.06 1 4 400 193 197
si6-b06m-m400.07 1 4 400 61 61
si6-b06m-m400.09 1 4 400 153 154
si6-b06m-m400.02 1 4 400 66 67
si6-b06m-m400.01 1 4 400 54 54
si6-b06m-m400.05 1 4 400 64 64
si2-m4Dr4-m1296.08 1 6 1296 300 304
si2-m4Dr4-m1296.07 1 6 1296 444 308
si2-m4Dr4-m1296.03 1 6 1296 315 319
si2-m4Dr4-m1296.05 1 6 1296 671 670
